SALE|20230519|Jahi Lewis|jahifortislewis@gmail.com|1000|2023| 
    BENZ|S-CLASS|SUV|BLACK|40000|28000.00|
    14.00|100.00|495.00|28609.00|Yes|121588.25SALE|20230512
SALE|John Gotti|jgotti@gmail.com|2000|2022|
    BENZ|G-WAGON|SUV|BLACK|20000|90000.00| 
    45.00|100.00|495.00|90640.00|Yes|385220.00SALE|2023|
SALE|Tony Montanna|Tony@theworldisyours.com|3000|2023|
    BMW|X6|SUV|BLACK|30000|50000.00| 
    25.00|100.00|495.00|50620.00|Yes|215135.00
SALE|20231209|Whitney Houston|houston@gmail.com|1000|2023| 
    BENZ|S-CLASS|SUV|BLACK|40000|28000.00| 
    14.00|100.00|495.00|28609.00|Yes|121588.25
SALE|20230918|Trevor Lewis|itglewis@gmail.com|2000|2022|
    BENZ|G-WAGON|SUV|BLACK|20000|90000.00| 
    45.00|100.00|495.00|90640.00|Yes|385220.00
SALE|20230512|Kyle Hinds|hinds@yahoo.com|5000|2021| 
    LEXUS|LS|CAR|BLACK|40000|35000.00| 
    17.50|100.00|495.00|35612.50|Yes|151353.13 
SALE|2023|Drake|DrakeOVO@gmail.com|4000|2020|
    LEXUS|LS|CAR|WHITE|40000|28000.00| 
    14.00|100.00|495.00|28609.00|Yes|121588.25 
SALE|20230519|Marvin Hagler|MarvelousHagler@gmail.com|3000|2023| 
    BMW|X6|SUV|BLACK|30000|50000.00| 
    25.00|100.00|495.00|50620.00|Yes|215135.00 
SALE|20230412|Tamika Alexander|Alexander@yahoo.com|3000|2023| 
    BMW|X6|SUV|BLACK|30000|50000.00| 
    25.00|100.00|495.00|50620.00|Yes|215135.00 
LEASE|2023|Ray|charles@yahoo.com|3000|2023| 
    BMW|X6|SUV|BLACK|30000|50000.00| 
    25000.00|3500.00|28500.00|114000.00 

